year,month,contracts,value_amd,share_of_year_count_pct,share_of_year_value_pct,index_vs_even_month_count,index_vs_even_month_value,single_source_contracts,single_source_share_of_count_pct,single_source_value_amd,single_source_share_of_month_value_pct,urgent_contracts,urgent_share_of_count_pct,urgent_value_amd,urgent_share_of_month_value_pct,urgent_open_tender_value_amd,top_buyer_of_month,top_buyer_share_of_month_value_pct,year_contracts,year_value_amd
2023,09,1470,27498665273,5.09,4.34,0.61,0.52,484,32.93,1544368194,5.62,74,5.03,10923045854,39.72,10774198392,Ministry Territorial Administration and Infrastructure of the Republic of Armenia,28.75,28907,634305333457
2023,10,2654,29900447434,9.18,4.71,1.1,0.57,1391,52.41,4911667935,16.43,605,22.8,13132244484,43.92,11550885359,Ministry Territorial Administration and Infrastructure of the Republic of Armenia,28.6,28907,634305333457
2023,11,2235,42480803456,7.73,6.7,0.93,0.8,814,36.42,1554456259,3.66,194,8.68,3865176181,9.1,3301495293,City planning Committee of the Republic of Armenia,37.54,28907,634305333457
2023,12,2736,47065874080,9.46,7.42,1.14,0.89,961,35.12,5368987285,11.41,169,6.18,12810621296,27.22,11782283385,Ministry Territorial Administration and Infrastructure of the Republic of Armenia,35.23,28907,634305333457
2024,01,3163,74435595432,9.67,9.01,1.16,1.08,725,22.92,12510642982,16.81,51,1.61,4606561723,6.19,4488348145,"Ministry of education, science, culture and sports of the Republic of Armenia",24.06,32709,825822923836
2024,02,3078,121311099696,9.41,14.69,1.13,1.76,882,28.65,12363611155,10.19,92,2.99,61921008594,51.04,61773158320,City planning Committee of the Republic of Armenia,46.35,32709,825822923836
2024,03,3395,102617169745,10.38,12.43,1.25,1.49,756,22.27,5906282529,5.76,92,2.71,46904550360,45.71,44074773937,Ministry Territorial Administration and Infrastructure of the Republic of Armenia,37.86,32709,825822923836
2024,04,3218,58857712824,9.84,7.13,1.18,0.86,735,22.84,1856360061,3.15,80,2.49,30628167109,52.04,30549163141,Ministry Territorial Administration and Infrastructure of the Republic of Armenia,34.44,32709,825822923836
2024,05,2428,84067609843,7.42,10.18,0.89,1.22,592,24.38,1831112724,2.18,91,3.75,33494311254,39.84,33134245393,Ministry Territorial Administration and Infrastructure of the Republic of Armenia,46.9,32709,825822923836
2024,06,2292,55937004558,7.01,6.77,0.84,0.81,632,27.57,1729870689,3.09,107,4.67,34105937337,60.97,33868067314,Armenian Territorial Development Fund,48.2,32709,825822923836
